area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,log_price,log_area,total_rooms,area_per_room,log_area_per_room,rooms_to_story_ratio,lusury_pack,fully_featured,no_parking,furnishingstatus_furnished,furnishingstatus_semi-furnished,furnishingstatus_unfurnished
7420,4,2,3,1,0,0,0,1,2,1,16.40327466837995,8.912069097970134,6,1236.6666666666667,1.485344849661689,2.0,0,0,0,1,0,0
8960,4,4,4,1,0,0,0,1,3,0,16.32103657658766,9.10063710688422,8,1120.0,1.1375796383605274,2.0,0,0,0,1,0,0
9960,3,2,2,1,0,1,0,0,2,1,16.32103657658766,9.206432747145165,5,1992.0,1.841286549429033,2.5,0,0,0,0,1,0
7500,4,2,2,1,0,1,0,1,3,1,16.31817534454053,8.922791623969637,6,1250.0,1.4871319373282728,3.0,0,0,0,1,0,0
7420,4,1,2,1,1,1,0,1,2,0,16.250000809480674,8.912069097970134,5,1484.0,1.782413819594027,2.5,0,1,0,1,0,0
7500,3,3,1,1,0,1,0,1,2,1,16.19967573011664,8.922791623969637,6,1250.0,1.4871319373282728,6.0,0,0,0,0,1,0
8580,4,3,4,1,0,0,0,1,2,1,16.132984361974234,9.057305735807121,7,1225.7142857142858,1.2939008194010173,1.75,0,0,0,0,1,0
16200,5,3,2,1,0,0,0,0,0,0,16.132984361974234,9.692828247710418,8,2025.0,1.2116035309638022,4.0,0,0,1,0,0,1
8100,4,1,2,1,1,1,0,1,2,1,16.105010512726782,8.999742789830492,5,1620.0,1.7999485579660983,2.5,0,1,0,1,0,0
5750,3,2,4,1,1,0,0,1,1,1,16.097893045681612,8.657129031713755,5,1150.0,1.731425806342751,1.25,0,0,0,0,0,1
13200,3,1,2,1,0,1,0,1,2,1,16.097893045681612,9.488047863280759,4,3300.0,2.3720119658201897,2.0,0,0,0,1,0,0
6000,4,3,2,1,1,1,1,0,2,0,16.085675862997316,8.699681400989514,7,857.1428571428571,1.2428116287127877,3.5,0,0,0,0,1,0
6550,4,2,2,1,0,0,0,1,1,1,16.04659975666463,8.787372988731876,6,1091.6666666666667,1.464562164788646,3.0,0,0,0,0,1,0
3500,4,2,2,1,0,0,1,0,2,0,16.039052551842968,8.160803920954665,6,583.3333333333334,1.3601339868257776,3.0,0,0,0,1,0,0
7800,3,2,2,1,0,0,0,0,0,1,16.039052551842968,8.962007209588313,5,1560.0,1.7924014419176626,2.5,0,0,1,0,1,0
6000,4,1,2,1,0,1,0,0,2,0,16.02378508137718,8.699681400989514,5,1200.0,1.7399362801979028,2.5,0,0,0,0,1,0
6600,4,2,2,1,1,1,0,1,1,1,16.02378508137718,8.79497643168877,6,1100.0,1.4658294052814618,3.0,0,1,0,0,0,1
8500,3,2,4,1,0,0,0,1,2,0,16.00828089655825,9.04793908261736,5,1700.0,1.809587816523472,1.25,0,0,0,1,0,0
4600,3,2,2,1,1,0,0,1,2,0,16.00043771997602,8.434028950155469,5,920.0,1.6868057900310938,2.5,0,0,0,1,0,0
6420,3,2,2,1,0,0,0,1,1,1,15.996492942129612,8.76732914779405,5,1284.0,1.75346582955881,2.5,0,0,0,0,1,0
4320,3,1,2,1,0,1,1,0,2,0,15.984564372619506,8.371242135931933,4,1080.0,2.0928105339829832,2.0,0,0,0,0,1,0
7155,3,2,1,1,1,1,0,1,2,0,15.976532201843899,8.87570644462861,5,1431.0,1.775141288925722,5.0,0,1,0,0,0,1
8050,3,1,1,1,1,1,0,1,1,0,15.97249179277332,8.993551586299981,4,2012.5,2.2483878965749953,4.0,0,1,0,1,0,0
4560,3,2,2,1,1,1,0,1,1,0,15.97249179277332,8.4252971767117,5,912.0,1.68505943534234,2.5,0,1,0,1,0,0
8800,3,2,2,1,0,0,0,1,2,0,15.964361667634346,9.082620630373812,5,1760.0,1.8165241260747624,2.5,0,0,0,1,0,0
6540,4,2,2,1,1,1,0,1,2,1,15.960271682860764,8.785845337961213,6,1090.0,1.4643075563268688,3.0,0,1,0,1,0,0
6000,3,2,4,1,1,1,0,1,0,1,15.951214396813645,8.699681400989514,5,1200.0,1.7399362801979028,1.25,0,1,1,0,1,0
8875,3,1,1,1,0,0,0,0,1,0,15.943742382861155,9.091106284052485,4,2218.75,2.272776571013121,4.0,0,0,0,0,1,0
7950,5,2,2,1,0,1,1,0,2,0,15.943742382861155,8.981052985901483,7,1135.7142857142858,1.2830075694144976,3.5,0,0,0,0,0,1
5500,4,2,2,1,0,1,0,1,1,1,15.943742382861155,8.612685172875459,6,916.6666666666666,1.4354475288125765,3.0,0,0,0,0,1,0
7475,3,2,4,1,0,0,0,1,2,0,15.943742382861155,8.919453168575453,5,1495.0,1.7838906337150906,1.25,0,0,0,0,0,1
7000,3,1,4,1,0,0,0,1,2,0,15.943742382861155,8.853808274977197,4,1750.0,2.2134520687442993,1.0,0,0,0,0,1,0
4880,4,2,2,1,0,0,0,1,1,1,15.931163602161226,8.493105395887147,6,813.3333333333334,1.4155175659811912,3.0,0,0,0,1,0,0
5960,3,3,2,1,1,1,0,0,1,0,15.918424577929366,8.692993531219926,6,993.3333333333334,1.448832255203321,3.0,0,0,0,0,0,1
6840,5,1,2,1,1,1,0,1,1,0,15.909840835290563,8.830689198760998,6,1140.0,1.4717815331268331,3.0,0,1,0,1,0,0
7000,3,2,4,1,0,0,0,1,2,0,15.905018884112332,8.853808274977197,5,1400.0,1.7707616549954395,1.25,0,0,0,1,0,0
7482,3,2,3,1,0,0,1,0,1,1,15.900312830217915,8.920389060080359,5,1496.4,1.7840778120160716,1.6666666666666667,0,0,0,1,0,0
9000,4,2,4,1,0,0,0,1,2,0,15.892449094739266,9.105090961257085,6,1500.0,1.5175151602095143,1.5,0,0,0,1,0,0
6000,3,1,4,1,1,0,0,1,2,0,15.890253704451245,8.699681400989514,4,1500.0,2.1749203502473784,1.0,0,0,0,0,0,1
6000,4,2,4,1,0,0,0,1,1,0,15.88363846616608,8.699681400989514,6,1000.0,1.449946900164919,1.5,0,0,0,0,1,0
6550,3,1,2,1,0,1,0,1,0,1,15.87920386966009,8.787372988731876,4,1637.5,2.196843247182969,2.0,0,0,1,1,0,0
6360,3,2,4,1,0,0,0,1,0,1,15.874749519877604,8.757940876678804,5,1272.0,1.7515881753357607,1.25,0,0,1,1,0,0
6480,3,2,4,1,0,0,0,1,2,0,15.856731016694035,8.776630098427717,5,1296.0,1.7553260196855434,1.25,0,0,0,0,0,1
