,price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus_furnished,furnishingstatus_semi-furnished,furnishingstatus_unfurnished,price_predicted(RandomForest)
0,13300000,7420,4,2,3,1,0,0,0,1,2,1,1,0,0,13300000.0
1,12250000,8960,4,4,4,1,0,0,0,1,3,0,1,0,0,12250000.0
2,12250000,9960,3,2,2,1,0,1,0,0,2,1,0,1,0,12250000.0
3,12215000,7500,4,2,2,1,0,1,0,1,3,1,1,0,0,12215000.0
4,11410000,7420,4,1,2,1,1,1,0,1,2,0,1,0,0,11410000.0
5,10850000,7500,3,3,1,1,0,1,0,1,2,1,0,1,0,10850000.0
6,10150000,8580,4,3,4,1,0,0,0,1,2,1,0,1,0,10150000.0
7,10150000,16200,5,3,2,1,0,0,0,0,0,0,0,0,1,10150000.0
8,9870000,8100,4,1,2,1,1,1,0,1,2,1,1,0,0,9870000.0
9,9800000,5750,3,2,4,1,1,0,0,1,1,1,0,0,1,9800000.0
10,9800000,13200,3,1,2,1,0,1,0,1,2,1,1,0,0,9800000.0
11,9681000,6000,4,3,2,1,1,1,1,0,2,0,0,1,0,9681000.0
12,9310000,6550,4,2,2,1,0,0,0,1,1,1,0,1,0,9310000.0
13,9240000,3500,4,2,2,1,0,0,1,0,2,0,1,0,0,9240000.0
14,9240000,7800,3,2,2,1,0,0,0,0,0,1,0,1,0,9240000.0
15,9100000,6000,4,1,2,1,0,1,0,0,2,0,0,1,0,9100000.0
16,9100000,6600,4,2,2,1,1,1,0,1,1,1,0,0,1,9100000.0
17,8960000,8500,3,2,4,1,0,0,0,1,2,0,1,0,0,8960000.0
18,8890000,4600,3,2,2,1,1,0,0,1,2,0,1,0,0,8890000.0
19,8855000,6420,3,2,2,1,0,0,0,1,1,1,0,1,0,8855000.0
20,8750000,4320,3,1,2,1,0,1,1,0,2,0,0,1,0,8750000.0
21,8680000,7155,3,2,1,1,1,1,0,1,2,0,0,0,1,8680000.0
22,8645000,8050,3,1,1,1,1,1,0,1,1,0,1,0,0,8645000.0
23,8645000,4560,3,2,2,1,1,1,0,1,1,0,1,0,0,8645000.0
24,8575000,8800,3,2,2,1,0,0,0,1,2,0,1,0,0,8575000.0
25,8540000,6540,4,2,2,1,1,1,0,1,2,1,1,0,0,8540000.0
26,8463000,6000,3,2,4,1,1,1,0,1,0,1,0,1,0,8463000.0
27,8400000,8875,3,1,1,1,0,0,0,0,1,0,0,1,0,8400000.0
28,8400000,7950,5,2,2,1,0,1,1,0,2,0,0,0,1,8400000.0
29,8400000,5500,4,2,2,1,0,1,0,1,1,1,0,1,0,8400000.0
30,8400000,7475,3,2,4,1,0,0,0,1,2,0,0,0,1,8400000.0
31,8400000,7000,3,1,4,1,0,0,0,1,2,0,0,1,0,8400000.0
32,8295000,4880,4,2,2,1,0,0,0,1,1,1,1,0,0,8295000.0
33,8190000,5960,3,3,2,1,1,1,0,0,1,0,0,0,1,8190000.0
34,8120000,6840,5,1,2,1,1,1,0,1,1,0,1,0,0,8120000.0
35,8080940,7000,3,2,4,1,0,0,0,1,2,0,1,0,0,8080940.0
36,8043000,7482,3,2,3,1,0,0,1,0,1,1,1,0,0,8043000.0
37,7980000,9000,4,2,4,1,0,0,0,1,2,0,1,0,0,7980000.0
38,7962500,6000,3,1,4,1,1,0,0,1,2,0,0,0,1,7962500.0
39,7910000,6000,4,2,4,1,0,0,0,1,1,0,0,1,0,7910000.0
40,7875000,6550,3,1,2,1,0,1,0,1,0,1,1,0,0,7875000.0
41,7840000,6360,3,2,4,1,0,0,0,1,0,1,1,0,0,7840000.0
42,7700000,6480,3,2,4,1,0,0,0,1,2,0,0,0,1,7700000.0
43,7700000,6000,4,2,4,1,0,0,0,0,2,0,0,1,0,7700000.0
44,7560000,6000,4,2,4,1,0,0,0,1,1,0,1,0,0,7560000.0
45,7560000,6000,3,2,3,1,0,0,0,1,0,0,0,1,0,7560000.0
46,7525000,6000,3,2,4,1,0,0,0,1,1,0,1,0,0,7525000.0
47,7490000,6600,3,1,4,1,0,0,0,1,3,1,1,0,0,7490000.0
48,7455000,4300,3,2,2,1,0,1,0,0,1,0,0,0,1,7455000.0
49,7420000,7440,3,2,1,1,1,1,0,1,0,1,0,1,0,7420000.0
50,7420000,7440,3,2,4,1,0,0,0,0,1,1,0,0,1,7420000.0
51,7420000,6325,3,1,4,1,0,0,0,1,1,0,0,0,1,7420000.0
52,7350000,6000,4,2,4,1,1,0,0,1,1,0,1,0,0,7350000.0
53,7350000,5150,3,2,4,1,0,0,0,1,2,0,0,1,0,7350000.0
54,7350000,6000,3,2,2,1,1,0,0,1,1,0,0,1,0,7350000.0
55,7350000,6000,3,1,2,1,0,0,0,1,1,0,0,0,1,7350000.0
56,7343000,11440,4,1,2,1,0,1,0,0,1,1,0,1,0,7343000.0
57,7245000,9000,4,2,4,1,1,0,0,1,1,1,1,0,0,7245000.0
58,7210000,7680,4,2,4,1,1,0,0,1,1,0,0,1,0,7210000.0
59,7210000,6000,3,2,4,1,1,0,0,1,1,0,1,0,0,7210000.0
60,7140000,6000,3,2,2,1,1,0,0,0,1,0,0,1,0,7140000.0
61,7070000,8880,2,1,1,1,0,0,0,1,1,0,0,1,0,7070000.0
62,7070000,6240,4,2,2,1,0,0,0,1,1,0,1,0,0,7070000.0
63,7035000,6360,4,2,3,1,0,0,0,1,2,1,1,0,0,7035000.0
64,7000000,11175,3,1,1,1,0,1,0,1,1,1,1,0,0,7000000.0
65,6930000,8880,3,2,2,1,0,1,0,1,1,0,1,0,0,6930000.0
66,6930000,13200,2,1,1,1,0,1,1,0,1,0,1,0,0,6930000.0
67,6895000,7700,3,2,1,1,0,0,0,0,2,0,0,0,1,6895000.0
68,6860000,6000,3,1,1,1,0,0,0,1,1,0,1,0,0,6860000.0
69,6790000,12090,4,2,2,1,0,0,0,0,2,1,1,0,0,6790000.0
70,6790000,4000,3,2,2,1,0,1,0,1,0,1,0,1,0,6790000.0
71,6755000,6000,4,2,4,1,0,0,0,1,0,0,0,0,1,6755000.0
72,6720000,5020,3,1,4,1,0,0,0,1,0,1,0,0,1,6720000.0
73,6685000,6600,2,2,4,1,0,1,0,0,0,1,1,0,0,6685000.0
74,6650000,4040,3,1,2,1,0,1,1,0,1,0,1,0,0,6650000.0
75,6650000,4260,4,2,2,1,0,0,1,0,0,0,0,1,0,6650000.0
76,6650000,6420,3,2,3,1,0,0,0,1,0,1,1,0,0,6650000.0
77,6650000,6500,3,2,3,1,0,0,0,1,0,1,1,0,0,6650000.0
